Longitude,Latitude,CapitalName,COUNTRY,Population
14.50400444,35.91299703,Valletta,Malta,5827
171.3676594,7.120980058,Majuro,Marshall Is.,27797
-61.07599764,14.607432,Fort-De-France,Martinique,82502
-15.97799669,18.08399694,Nouakchott,Mauritania,958399
57.4959963,-20.16500406,Port Louis,Mauritius,146737
45.28330243,-12.78330294,Mamoutzou,Mayotte,0
-99.12757465,19.42704908,Mexico City,Mexico,21942666
158.2167063,6.966701959,Palikir,Micronesia,0
28.82999729,46.99999807,Chisinau,Moldova,0
7.424001381,43.745004,Monaco,Monaco,0
106.9119994,47.92899603,Ulaanbaatar,Mongolia,1515593
19.40000431,42.49999796,Podgorica,Montenegro,185937
-62.20099759,16.679997,Plymouth,Montserrat,0
-6.832997687,34.01499594,Rabat,Morocco,2213000
32.57399739,-25.96200304,Maputo,Mozambique,1507000
96.20904212,19.73348916,Nay Pyi Taw,Myanmar,642000
17.07699633,-22.56000305,Windhoek,Namibia,325858
166.9167004,-0.51669896,Yaren,Nauru,0
85.31295343,27.71201693,Kathmandu,Nepal,1467000
4.894839325,52.37304298,Amsterdam,Netherlands,821752
-68.97055463,12.13878599,Willemstad,Netherlands Antilles,0
165.5000014,-21.50000095,Noumea,New Caledonia,99926
174.8072164,-41.33484005,Wellington,New Zealand,216300
-86.27300061,12.15099902,Managua,Nicaragua,1192000
2.120004365,13.51400402,Niamey,Niger,1026848
7.2563853,9.057266953,Abuja,Nigeria,3306000
-169.9166696,-19.01666694,Alofi,Niue,639
167.9629503,-29.06377198,Kingston,Norfolk I.,0
125.7570003,39.02900402,P'yongyang,North Korea,3049000
21.43333843,41.98333497,Skopje,North Macedonia,546824
145.7350023,15.14999698,Saipan,Northern Mariana Is.,3983
10.71199835,59.93800203,Oslo,Norway,681067
58.58800245,23.60699999,Muscat,Oman,0
73.06054232,33.71815797,Islamabad,Pakistan,1014825
134.4916803,7.340615928,Koror,Palau,11754
-79.51707859,9.002879921,Panama,Panama,481993
-57.62199557,-25.30500296,Asuncion,Paraguay,0
-77.0450036,-12.08199594,Lima,Peru,9562280
120.9669484,14.61670206,Manila,Philippines,1780148
